,line,day_of_week,hour,day,month,count
2827,C,1,17,28,6,18
2828,L,0,14,20,6,3
2829,D,0,15,6,6,6
2830,2,2,21,8,6,4
2831,3,0,7,6,6,2
2832,2,0,2,27,6,2
2833,D,0,13,13,6,3
2834,Z,6,16,5,6,1
2835,3,5,5,11,6,2
2836,C,3,11,30,6,15
2837,S,6,1,5,6,1
2838,6,5,0,11,6,9
2839,E,0,6,13,6,10
2840,3,4,21,17,6,3
2841,L,3,14,30,6,1
2842,C,2,18,29,6,9
2843,5,6,9,26,6,3
2844,A,0,1,27,6,7
2845,4,1,13,28,6,5
2846,C,0,17,13,6,13
2847,R,1,14,28,6,13
2848,R,1,21,21,6,12
2849,Q,0,22,6,6,4
2850,N,1,2,21,6,3
2851,4,4,18,3,6,5
2852,6,3,2,23,6,5
2853,J,1,13,28,6,1
2854,E,6,20,19,6,11
2855,R,4,14,17,6,12
2856,R,2,5,29,6,1
2857,5,1,22,28,6,1
2858,1,3,4,30,6,5
2859,3,4,17,10,6,1
2860,M,0,2,20,6,3
2861,E,0,4,6,6,1
2862,6,0,10,13,6,7
2863,D,3,15,9,6,8
2864,R,5,11,18,6,13
2865,3,4,17,17,6,3
2866,4,1,10,7,6,4
2867,A,4,20,24,6,6
2868,R,0,1,27,6,5
2869,L,2,18,22,6,2
2870,2,5,1,11,6,5
2871,1,2,17,15,6,9
2872,E,6,18,19,6,16
2873,6,1,0,14,6,4
2874,R,1,17,21,6,14
2875,3,1,22,21,6,3
2876,C,4,8,3,6,8
2877,M,4,12,24,6,14
2878,E,4,12,10,6,4
2879,E,3,21,23,6,10
2880,7,1,14,21,6,6
2881,N,0,8,6,6,4
2882,Q,4,23,24,6,3
2883,2,0,17,13,6,5
2884,R,1,23,14,6,9
2885,2,4,13,17,6,4
2886,L,5,12,4,6,2
2887,F,1,7,14,6,9
2888,M,6,0,5,6,15
2889,N,4,6,10,6,4
2890,N,0,10,6,6,7
2891,R,6,20,12,6,18
2892,4,1,9,28,6,5
2893,F,4,9,24,6,12
2894,E,1,16,14,6,7
2895,L,5,0,11,6,4
2896,J,0,2,27,6,1
2897,2,3,9,9,6,1
2898,A,4,5,17,6,5
2899,6,3,12,23,6,18
2900,M,6,16,26,6,16
2901,A,1,5,21,6,4
2902,C,6,8,5,6,9
2903,Q,6,8,26,6,1
2904,F,3,5,16,6,4
2905,D,2,21,8,6,1
2906,M,4,6,24,6,7
2907,M,0,8,27,6,7
2908,R,3,23,16,6,17
2909,A,5,23,4,6,19
2910,2,3,7,2,6,6
2911,Q,5,14,11,6,3
2912,F,3,7,2,6,6
2913,6,5,5,25,6,9
2914,M,1,2,7,6,1
2915,GS,1,14,28,6,1
2916,5,1,10,7,6,4
2917,1,3,21,9,6,14
2918,1,1,23,28,6,14
2919,L,4,8,24,6,2
2920,Q,5,8,11,6,4
2921,GS,3,14,16,6,1
2922,5,2,7,15,6,4
2923,2,3,0,30,6,2
2924,F,5,3,25,6,3
2925,F,1,7,21,6,5
2926,1,6,15,26,6,16
2927,7,3,5,9,6,1
2928,L,3,9,23,6,1
2929,M,1,5,28,6,1
2930,6,4,19,3,6,11
2931,E,1,19,14,6,9
2932,1,5,21,11,6,27
2933,1,0,19,13,6,17
2934,A,6,11,12,6,6
2935,GS,3,18,16,6,1
2936,R,2,8,29,6,7
2937,6,2,17,8,6,8
2938,M,4,15,17,6,11
2939,A,4,22,24,6,10
2940,1,4,13,10,6,14
2941,6,3,11,30,6,12
2942,L,1,2,28,6,1
2943,N,5,18,25,6,12
2944,3,2,14,15,6,2
2945,N,2,19,15,6,20
2946,E,2,20,22,6,6
2947,D,2,23,15,6,2
2948,5,3,17,30,6,2
2949,L,6,16,26,6,2
2950,M,0,13,13,6,5
2951,2,5,15,11,6,5
2952,A,2,14,22,6,7
2953,E,6,17,26,6,9
2954,E,3,16,2,6,7
2955,4,4,12,17,6,2
2956,F,6,5,5,6,2
2957,E,4,10,17,6,11
2958,Q,2,6,22,6,4
2959,C,4,15,24,6,8
2960,F,3,9,16,6,10
2961,L,3,9,16,6,2
2962,6,6,23,12,6,1
2963,F,0,13,27,6,17
2964,5,4,12,24,6,2
2965,5,6,18,26,6,2
2966,3,3,2,16,6,3
2967,D,3,6,2,6,6
2968,4,0,7,6,6,1
2969,D,5,11,4,6,3
2970,6,3,15,9,6,12
2971,1,2,21,8,6,9
2972,3,4,10,17,6,3
2973,R,0,15,6,6,13
2974,G,1,22,7,6,1
2975,D,3,23,2,6,6
2976,N,5,18,11,6,9
2977,4,2,7,22,6,3
2978,E,5,1,18,6,17
2979,GS,4,1,10,6,1
2980,D,5,23,4,6,3
2981,D,2,16,29,6,9
2982,M,3,7,9,6,9
2983,M,2,3,8,6,1
2984,D,3,21,2,6,2
2985,M,5,17,4,6,8
2986,L,6,19,26,6,6
2987,A,2,13,29,6,7
2988,2,1,8,28,6,5
2989,5,4,22,24,6,1
2990,A,4,22,10,6,6
2991,3,6,3,19,6,3
2992,C,0,10,6,6,21
2993,J,2,17,29,6,1
2994,Q,0,22,20,6,7
2995,2,3,0,2,6,4
2996,2,6,17,26,6,7
2997,5,5,8,4,6,1
2998,F,4,1,3,6,7
2999,A,5,11,11,6,8
3000,3,3,22,9,6,4
3001,C,6,7,19,6,8
3002,7,1,7,14,6,2
3003,GS,4,6,10,6,1
3004,L,1,2,14,6,1
3005,R,3,16,23,6,9
3006,R,5,6,4,6,7
3007,Q,0,18,20,6,10
3008,M,0,10,6,6,9
3009,F,6,2,12,6,10
3010,E,3,9,30,6,7
3011,2,6,3,26,6,3
3012,Z,4,21,24,6,1
3013,C,3,6,16,6,13
3014,E,2,20,29,6,11
3015,M,2,12,8,6,9
3016,D,3,0,9,6,4
3017,1,2,4,8,6,4
3018,Z,0,21,13,6,1
3019,M,5,13,11,6,12
3020,5,4,8,17,6,2
3021,E,5,13,25,6,20
3022,GS,0,20,13,6,1
3023,D,1,19,14,6,10
3024,C,3,23,23,6,17
3025,1,6,15,5,6,16
3026,M,4,21,10,6,5
3027,1,4,20,17,6,13
3028,D,3,6,30,6,4
3029,2,1,7,28,6,6
3030,Q,4,13,17,6,7
3031,1,3,14,16,6,10
