,line,day_of_week,hour,day,month,count
8204,2,5,3,12,9,3
8205,6,3,5,24,9,5
8206,1,0,6,7,9,6
8207,J,5,7,26,9,2
8208,1,5,13,19,9,29
8209,6,6,23,13,9,9
8210,A,5,10,12,9,10
8211,J,1,18,29,9,3
8212,E,1,8,8,9,8
8213,M,1,0,22,9,3
8214,4,5,23,26,9,3
8215,M,3,22,24,9,6
8216,A,1,10,8,9,9
8217,J,6,4,6,9,1
8218,3,1,16,8,9,3
8219,7,6,15,6,9,4
8220,N,2,12,2,9,12
8221,7,0,20,21,9,4
8222,D,2,19,23,9,3
8223,3,5,17,5,9,1
8224,D,5,17,26,9,5
8225,D,2,6,16,9,4
8226,Q,1,10,22,9,1
8227,1,1,12,8,9,12
8228,L,3,4,3,9,1
8229,Q,3,13,3,9,8
8230,R,6,5,13,9,3
8231,F,1,18,29,9,7
8232,S,6,15,6,9,2
8233,6,3,21,24,9,6
8234,F,0,10,28,9,7
8235,A,0,16,21,9,9
8236,R,3,17,24,9,13
8237,C,5,11,5,9,13
8238,R,4,12,4,9,14
8239,2,1,22,1,9,4
8240,1,1,10,22,9,11
8241,E,2,1,16,9,3
8242,F,3,0,17,9,5
8243,D,3,0,17,9,7
8244,M,4,1,18,9,4
8245,GS,0,12,21,9,1
8246,L,6,23,27,9,2
8247,6,1,6,15,9,15
8248,7,1,3,1,9,1
8249,1,0,15,14,9,9
8250,J,6,20,6,9,2
8251,M,6,4,27,9,5
8252,1,4,6,25,9,7
8253,R,5,1,26,9,8
8254,3,3,0,10,9,3
8255,6,3,8,17,9,11
8256,N,5,21,12,9,10
