,line,day_of_week,hour,day,month,count
3914,4,0,2,12,10,1
3915,R,6,15,4,10,5
3916,2,5,11,10,10,9
3917,3,5,22,31,10,5
3918,A,1,8,13,10,6
3919,L,6,13,18,10,1
3920,1,0,16,19,10,9
3921,Q,1,13,27,10,5
3922,F,4,21,30,10,16
3923,R,2,14,21,10,9
3924,R,3,18,8,10,10
3925,L,2,9,14,10,4
3926,L,0,15,26,10,2
3927,2,4,14,30,10,3
3928,A,0,11,12,10,8
3929,M,5,11,24,10,10
3930,A,1,7,27,10,9
3931,N,3,8,22,10,4
3932,4,4,16,30,10,2
3933,7,5,9,10,10,1
3934,R,1,23,27,10,7
3935,3,1,20,20,10,3
3936,D,3,9,8,10,5
3937,6,1,19,13,10,18
3938,3,0,12,19,10,2
3939,2,5,2,17,10,1
3940,E,3,21,22,10,20
3941,1,4,3,2,10,5
3942,M,1,22,6,10,9
3943,7,1,14,6,10,1
3944,J,0,20,19,10,1
3945,F,1,17,6,10,13
3946,Z,6,18,25,10,1
3947,E,2,16,7,10,8
3948,E,2,6,28,10,10
3949,N,1,5,6,10,2
3950,D,1,22,6,10,4
3951,5,1,17,27,10,3
3952,E,4,16,23,10,9
3953,F,2,6,7,10,10
3954,F,5,19,3,10,20
3955,1,1,3,13,10,1
3956,D,2,19,14,10,4
3957,5,5,7,3,10,1
3958,A,1,6,20,10,2
3959,3,2,4,28,10,4
3960,C,5,18,31,10,19
3961,J,4,21,2,10,1
3962,1,5,12,24,10,28
3963,Q,4,18,16,10,5
3964,N,5,21,10,10,10
3965,7,6,20,18,10,2
3966,Q,2,1,14,10,1
3967,F,0,14,19,10,6
3968,Q,6,0,25,10,4
3969,D,4,22,23,10,9
3970,N,5,12,31,10,8
3971,2,3,22,8,10,3
3972,D,6,19,18,10,9
3973,4,4,8,16,10,3
3974,7,2,16,28,10,1
3975,6,6,11,4,10,13
3976,J,5,11,31,10,2
3977,L,5,23,10,10,2
3978,M,0,7,5,10,6
3979,6,4,13,23,10,11
3980,6,6,1,4,10,10
3981,D,3,22,29,10,5
3982,A,5,8,31,10,3
3983,F,0,21,5,10,6
3984,6,3,23,15,10,6
3985,7,0,15,26,10,1
3986,M,4,15,9,10,9
