,line,day_of_week,hour,day,month,count
6412,E,0,12,4,1,9
6413,2,4,11,15,1,4
6414,7,3,1,28,1,1
6415,2,4,18,15,1,4
6416,L,5,7,23,1,1
6417,A,3,6,28,1,2
6418,F,1,15,26,1,11
6419,A,2,18,6,1,7
6420,Q,5,5,2,1,1
6421,J,0,20,18,1,2
6422,Z,0,12,4,1,1
6423,E,6,0,10,1,19
6424,C,0,7,18,1,4
6425,M,4,12,1,1,9
6426,G,0,8,18,1,1
6427,E,3,16,14,1,16
6428,Q,3,16,28,1,6
6429,GS,5,23,2,1,1
6430,Q,4,10,1,1,4
6431,7,1,18,26,1,1
6432,4,6,19,31,1,1
6433,C,1,20,12,1,16
6434,C,4,23,1,1,16
6435,D,4,18,15,1,6
6436,R,0,23,4,1,3
6437,2,5,1,30,1,3
6438,E,6,5,10,1,4
6439,1,0,4,4,1,3
6440,A,3,19,28,1,3
6441,N,6,8,10,1,3
6442,E,5,11,2,1,7
6443,2,2,22,13,1,1
6444,N,1,22,26,1,4
6445,7,3,10,28,1,1
6446,A,5,6,2,1,4
6447,C,0,10,18,1,12
6448,5,0,14,4,1,3
6449,1,4,13,8,1,13
6450,L,5,0,23,1,1
6451,L,6,8,24,1,1
6452,Q,6,10,17,1,7
6453,F,2,11,6,1,7
6454,L,5,11,16,1,4
6455,L,1,23,5,1,1
6456,M,5,21,30,1,6
6457,A,0,1,18,1,3
6458,M,6,11,31,1,18
6459,6,0,2,18,1,1
6460,Q,1,23,19,1,5
6461,R,0,14,11,1,14
6462,D,3,15,28,1,11
6463,F,2,5,20,1,2
6464,Q,4,18,15,1,5
6465,1,5,18,16,1,35
6466,C,1,19,26,1,17
6467,5,5,12,2,1,3
6468,F,0,16,11,1,11
6469,Q,0,13,25,1,6
6470,6,5,5,2,1,3
6471,R,1,13,5,1,16
6472,N,4,0,8,1,8
6473,N,5,1,16,1,7
6474,3,5,1,16,1,3
6475,N,3,8,7,1,1
6476,2,2,20,27,1,3
6477,5,4,17,29,1,1
6478,Q,1,10,19,1,1
6479,N,5,6,9,1,2
6480,L,5,20,30,1,3
6481,C,1,22,26,1,6
6482,D,6,10,3,1,6
6483,7,6,18,10,1,1
6484,F,1,8,5,1,2
6485,1,3,13,28,1,11
6486,7,0,1,11,1,1
6487,R,5,9,30,1,12
6488,M,4,15,29,1,5
6489,J,5,15,30,1,2
6490,1,6,5,31,1,1
6491,G,5,19,2,1,1
6492,6,5,8,2,1,19
6493,1,5,13,30,1,31
6494,E,2,22,6,1,8
6495,J,5,9,16,1,1
6496,7,5,2,30,1,1
6497,N,1,21,5,1,15
6498,7,6,23,10,1,1
6499,A,5,10,16,1,4
6500,1,5,1,2,1,6
6501,3,2,17,27,1,5
6502,A,5,21,9,1,9
6503,6,1,6,5,1,7
6504,1,3,18,14,1,19
6505,3,3,5,14,1,1
6506,2,4,14,29,1,1
6507,4,2,11,6,1,2
6508,N,2,4,20,1,2
6509,7,3,0,21,1,1
6510,4,4,23,15,1,2
6511,L,3,18,28,1,3
6512,GS,0,5,25,1,1
6513,2,6,18,24,1,3
6514,M,5,15,2,1,17
6515,D,1,7,26,1,2
6516,A,0,12,18,1,9
6517,1,1,18,12,1,16
6518,Q,5,14,2,1,12
6519,L,0,11,18,1,1
6520,7,5,22,30,1,2
6521,M,4,18,29,1,3
6522,A,0,12,11,1,8
6523,N,6,19,10,1,13
6524,4,6,8,31,1,2
6525,L,2,18,20,1,10
6526,3,5,21,30,1,6
6527,1,0,8,18,1,3
6528,3,5,0,9,1,2
6529,M,5,4,30,1,4
6530,Q,0,2,25,1,2
6531,R,0,3,4,1,2
6532,Q,6,19,3,1,10
6533,F,6,7,17,1,2
6534,Q,5,12,16,1,16
6535,GS,4,11,8,1,1
6536,C,1,17,5,1,15
6537,L,1,2,26,1,2
6538,Q,3,0,14,1,9
6539,Q,6,14,31,1,12
6540,A,4,20,1,1,5
6541,Q,4,12,15,1,8
6542,5,6,11,31,1,1
6543,Q,5,6,16,1,1
6544,N,0,10,4,1,5
6545,R,0,10,25,1,10
6546,GS,4,18,15,1,1
6547,5,5,11,30,1,2
6548,2,5,22,9,1,5
6549,6,1,10,26,1,10
6550,R,6,21,31,1,15
6551,D,4,10,22,1,9
6552,Q,6,0,17,1,5
6553,A,2,6,27,1,5
6554,L,4,2,22,1,1
6555,M,1,11,19,1,6
6556,3,4,13,22,1,3
6557,1,2,9,6,1,8
6558,E,0,1,25,1,5
6559,1,1,16,26,1,10
6560,E,3,12,14,1,9
6561,6,2,20,20,1,9
6562,2,2,14,20,1,3
6563,M,6,3,17,1,9
6564,2,3,3,28,1,1
6565,E,2,12,6,1,9
6566,F,4,6,8,1,8
6567,R,1,11,5,1,5
6568,E,5,23,16,1,13
6569,6,2,16,27,1,7
6570,5,4,15,29,1,4
6571,1,1,8,5,1,14
6572,6,5,15,9,1,12
6573,N,4,22,29,1,12
6574,E,2,18,20,1,13
6575,L,5,6,2,1,1
